x y z value
-2 -0.5 -1.4 -0.827273
-2 -0.5 -1.3 -0.845865
-2 -0.5 -1.2 -0.864248
-2 -0.5 -1.1 -0.882263
-2 -0.5 -1 -0.899735
-2 -0.5 -0.9 -0.916472
-2 -0.5 -0.8 -0.932266
-2 -0.5 -0.7 -0.946903
-2 -0.5 -0.6 -0.960161
-2 -0.5 -0.5 -0.971825
-2 -0.5 -0.4 -0.981692
-2 -0.5 -0.3 -0.989577
-2 -0.5 -0.2 -0.995327
-2 -0.5 -0.1 -0.998826
-2 -0.5 1.77636e-15 1
-2 -0.5 0.1 0.998826
-2 -0.5 0.2 0.995327
-2 -0.5 0.3 0.989577
-2 -0.5 0.4 0.981692
-2 -0.5 0.5 0.971825
-2 -0.5 0.6 0.960161
-2 -0.5 0.7 0.946903
-2 -0.5 0.8 0.932266
-2 -0.5 0.9 0.916472
-2 -0.5 1 0.899735
-2 -0.5 1.1 0.882263
-2 -0.5 1.2 0.864248
-2 -0.5 1.3 0.845865
-2 -0.5 1.4 0.827273
-2 -0.5 1.5 0.808608
-2 -0.5 1.6 0.789989
-2 -0.5 1.7 0.771517
-2 -0.5 1.8 0.753275
-2 -0.5 1.9 0.735332
-2 -0.4 -2 -0.714006
-2 -0.4 -1.9 -0.731705
-2 -0.4 -1.8 -0.749775
-2 -0.4 -1.7 -0.768161
-2 -0.4 -1.6 -0.786796
-2 -0.4 -1.5 -0.805597
-2 -0.4 -1.4 -0.824463
-2 -0.4 -1.3 -0.843274
-2 -0.4 -1.2 -0.861892
-2 -0.4 -1.1 -0.880156
-2 -0.4 -1 -0.897887
-2 -0.4 -0.9 -0.914889
-2 -0.4 -0.8 -0.930949
-2 -0.4 -0.7 -0.945845
-2 -0.4 -0.6 -0.959351
-2 -0.4 -0.5 -0.971242
-2 -0.4 -0.4 -0.981307
-2 -0.4 -0.3 -0.989355
-2 -0.4 -0.2 -0.995227
-2 -0.4 -0.1 -0.9988
-2 -0.4 1.77636e-15 1
-2 -0.4 0.1 0.9988
-2 -0.4 0.2 0.995227
-2 -0.4 0.3 0.989355
-2 -0.4 0.4 0.981307
-2 -0.4 0.5 0.971242
-2 -0.4 0.6 0.959351
-2 -0.4 0.7 0.945845
-2 -0.4 0.8 0.930949
-2 -0.4 0.9 0.914889
-2 -0.4 1 0.897887
-2 -0.4 1.1 0.880156
-2 -0.4 1.2 0.861892
-2 -0.4 1.3 0.843274
-2 -0.4 1.4 0.824463
-2 -0.4 1.5 0.805597
-2 -0.4 1.6 0.786796
-2 -0.4 1.7 0.768161
-2 -0.4 1.8 0.749775
-2 -0.4 1.9 0.731705
-2 -0.3 -2 -0.711029
-2 -0.3 -1.9 -0.728813
-2 -0.3 -1.8 -0.746981
-2 -0.3 -1.7 -0.76548
-2 -0.3 -1.6 -0.784243
-2 -0.3 -1.5 -0.803188
-2 -0.3 -1.4 -0.822212
-2 -0.3 -1.3 -0.841197
-2 -0.3 -1.2 -0.860001
-2 -0.3 -1.1 -0.878463
-2 -0.3 -1 -0.896402
-2 -0.3 -0.9 -0.913616
-2 -0.3 -0.8 -0.929889
-2 -0.3 -0.7 -0.944994
-2 -0.3 -0.6 -0.958698
-2 -0.3 -0.5 -0.970771
-2 -0.3 -0.4 -0.980996
-2 -0.3 -0.3 -0.989176
-2 -0.3 -0.2 -0.995146
-2 -0.3 -0.1 -0.99878
-2 -0.3 1.77636e-15 1
-2 -0.3 0.1 0.99878
-2 -0.3 0.2 0.995146
-2 -0.3 0.3 0.989176
-2 -0.3 0.4 0.980996
-2 -0.3 0.5 0.970771
-2 -0.3 0.6 0.958698
-2 -0.3 0.7 0.944994
-2 -0.3 0.8 0.929889
-2 -0.3 0.9 0.913616
-2 -0.3 1 0.896402
-2 -0.3 1.1 0.878463
-2 -0.3 1.2 0.860001
-2 -0.3 1.3 0.841197
-2 -0.3 1.4 0.822212
-2 -0.3 1.5 0.803188
-2 -0.3 1.6 0.784243
-2 -0.3 1.7 0.76548
-2 -0.3 1.8 0.746981
-2 -0.3 1.9 0.728813
-2 -0.2 -2 -0.708864
-2 -0.2 -1.9 -0.726708
-2 -0.2 -1.8 -0.744946
-2 -0.2 -1.7 -0.763526
-2 -0.2 -1.6 -0.782382
-2 -0.2 -1.5 -0.80143
-2 -0.2 -1.4 -0.820569
-2 -0.2 -1.3 -0.839679
-2 -0.2 -1.2 -0.858619
-2 -0.2 -1.1 -0.877225
-2 -0.2 -1 -0.895314
-2 -0.2 -0.9 -0.912683
-2 -0.2 -0.8 -0.929111
-2 -0.2 -0.7 -0.944369
-2 -0.2 -0.6 -0.958218
-2 -0.2 -0.5 -0.970425
-2 -0.2 -0.4 -0.980767
-2 -0.2 -0.3 -0.989044
-2 -0.2 -0.2 -0.995086
-2 -0.2 -0.1 -0.998765
-2 -0.2 1.77636e-15 1
-2 -0.2 0.1 0.998765
-2 -0.2 0.2 0.995086
-2 -0.2 0.3 0.989044
-2 -0.2 0.4 0.980767
-2 -0.2 0.5 0.970425
-2 -0.2 0.6 0.958218
-2 -0.2 0.7 0.944369
-2 -0.2 0.8 0.929111
-2 -0.2 0.9 0.912683
-2 -0.2 1 0.895314
-2 -0.2 1.1 0.877225
-2 -0.2 1.2 0.858619
-2 -0.2 1.3 0.839679
-2 -0.2 1.4 0.820569
-2 -0.2 1.5 0.80143
-2 -0.2 1.6 0.782382
-2 -0.2 1.7 0.763526
-2 -0.2 1.8 0.744946
-2 -0.2 1.9 0.726708
-2 -0.1 -2 -0.707548
-2 -0.1 -1.9 -0.725429
-2 -0.1 -1.8 -0.743709
-2 -0.1 -1.7 -0.762338
-2 -0.1 -1.6 -0.781249
-2 -0.1 -1.5 -0.800359
-2 -0.1 -1.4 -0.819568
-2 -0.1 -1.3 -0.838754
-2 -0.1 -1.2 -0.857776
-2 -0.1 -1.1 -0.87647
-2 -0.1 -1 -0.89465
-2 -0.1 -0.9 -0.912113
-2 -0.1 -0.8 -0.928636
-2 -0.1 -0.7 -0.943987
-2 -0.1 -0.6 -0.957925
-2 -0.1 -0.5 -0.970214
-2 -0.1 -0.4 -0.980628
-2 -0.1 -0.3 -0.988963
-2 -0.1 -0.2 -0.995049
-2 -0.1 -0.1 -0.998755
-2 -0.1 1.77636e-15 1
-2 -0.1 0.1 0.998755
-2 -0.1 0.2 0.995049
-2 -0.1 0.3 0.988963
-2 -0.1 0.4 0.980628
-2 -0.1 0.5 0.970214
-2 -0.1 0.6 0.957925
-2 -0.1 0.7 0.943987
-2 -0.1 0.8 0.928636
-2 -0.1 0.9 0.912113
